Date,beta1,beta2,beta3
2008-01-04,0.469431673980921,-0.335584256392888,-0.331730267769226
2008-01-11,0.469431673980921,-0.335584256392888,-0.331730267769226
2008-01-18,0.469431673980921,-0.335584256392888,-0.331730267769226
2008-01-25,0.469431673980921,-0.335584256392888,-0.331730267769226
2008-02-01,0.469431673980921,-0.335584256392888,-0.331730267769226
2008-02-08,0.753698852101726,-0.540799272461429,-0.318176279266437
2008-02-15,0.753698852101726,-0.54079927246143,-0.318176279266436
2008-02-22,0.753698852101726,-0.54079927246143,-0.318176279266436
2008-02-29,0.841290386883378,-0.605852214917503,-0.382976051499878
2008-03-07,0.904580902379505,-0.656073731799998,-0.38052944766377
2008-03-14,1.09940899345816,-0.775378007769162,-0.439233558109669
2008-03-21,1.11823713835133,-0.853550647027735,-0.483974901543889
2008-03-28,1.08813785040624,-0.821272249914816,-0.489026633436151
2008-04-04,0.896038392521617,-0.730124210507688,-0.458712986692837
2008-04-11,0.852931249843034,-0.720507824324391,-0.360179887105885
2008-04-18,0.762415346374896,-0.642162531656398,-0.339403420436084
2008-04-25,0.632564009829906,-0.536764675857269,-0.292629002620542
2008-05-02,0.608254005718807,-0.516450005373471,-0.289831709856855
2008-05-09,0.614417048131974,-0.521247335661763,-0.291426557110056
2008-05-16,0.598456354042503,-0.515510977663651,-0.264641558588662
2008-05-23,0.645497488890933,-0.538928771284516,-0.296035849945709
2008-05-30,0.69631312847124,-0.562915255881679,-0.304012922032957
2008-06-06,0.762834486348772,-0.588969722176625,-0.408694070115567
2008-06-13,0.911791951983922,-0.646537008391115,-0.427838901593136
2008-06-20,0.905540309409296,-0.641964404032478,-0.425554733579644
2008-06-27,0.967682074572127,-0.663269822391417,-0.469694052149893
2008-07-04,0.997329236724017,-0.682472587842826,-0.476034108486522
2008-07-11,0.952682074572127,-0.663269822391417,-0.469694052149892
2008-07-18,0.890711407873882,-0.634465888276536,-0.460184182032632
2008-07-25,0.79025524405397,-0.591259928451913,-0.445918618291868
2008-08-01,0.812578868105355,-0.600861045736278,-0.449089173846834
2008-08-08,0.83990248125894,-0.610462503538283,-0.452259258551208
2008-08-15,0.83490248125894,-0.610462503538283,-0.452259258551208
2008-08-22,0.901873172336935,-0.63926650756338,-0.461769049177427
2008-08-29,0.901873172336935,-0.639266507563379,-0.461769049177429
2008-09-05,0.895711407873882,-0.634465888276536,-0.460184182032632
2008-09-12,0.968843848008335,-0.668070623053841,-0.471278838607276
2008-09-19,1.10483271636305,-0.71130640932877,-0.414374158942313
2008-09-26,1.10792456088186,-0.725325638653404,-0.49138226550114
2008-10-03,1.16339563487825,-0.768493416001693,-0.505764150324777
2008-10-10,1.32980921261876,-0.897996664276163,-0.548912051690705
2008-10-17,1.58275879457029,-1.21608763125885,-0.688855318135691
2008-10-24,2.63653536597633,-1.45936921341842,0.105080055109257
2008-10-31,2.19767369625662,-1.49506601639078,-1.30106838818452
2008-11-07,2.04344893281559,-1.17615342235546,-0.99980097856741
2008-11-14,2.10691909920338,-1.21946191889385,-1.03006239578195
2008-11-21,2.69926954021356,-1.43600567217236,-1.18136477351541
2008-11-28,2.21365417286456,-1.24111624758677,-1.04519296523171
2008-12-05,2.66410141001589,-0.984253408578449,-0.508242125421199
2008-12-12,2.69926954021356,-1.43600567217236,-1.18136477351541
2008-12-19,2.43160083564203,-1.30765868877309,-0.943868278831689
2008-12-26,2.31823271996611,-1.26433644988917,-0.914271838168065
2008-12-31,2.31823271996611,-1.26433644988917,-0.914271838168065
2009-01-02,2.31823271996611,-1.26433644988917,-0.914271838168065
2009-01-09,2.0662813783174,-1.17772030731812,-0.853678564920908
2009-01-16,2.28649474970414,-1.2426823560582,-0.899122889392835
2009-01-23,2.67692149247761,-1.37260645353834,-0.990011538336692
2009-01-30,2.65865892334042,-1.39426031461648,-1.00515796525816
2009-02-06,2.6613135826213,-1.49639662426997,-1.05201340123525
2009-02-13,2.72090756037268,-1.51835948503468,-1.14515859874406
2009-02-20,3.03633430314615,-1.64828358251483,-1.23604724768792
2009-02-27,3.00459633288419,-1.62662948868385,-1.22089829891269
2009-03-06,3.11137767205614,-1.90475331179842,-1.2380284772963
2009-03-13,2.74990319939119,-1.86107176084605,-1.07102866466567
2009-03-20,2.39503599556519,-1.72047539351757,-1.01156590923974
2009-03-27,1.99787187586882,-1.56889745823457,-0.905531085559795
2009-04-03,1.95822960021488,-1.37475820360173,-1.04260575121463
2009-04-10,1.883229642228,-1.374758199107,-1.04260600283228
2009-04-17,1.87649186866028,-1.35310435922462,-1.02745778448353
2009-04-24,1.87649186866028,-1.35310435922462,-1.02745778448353
2009-05-01,1.7630163787211,-1.3097961969175,-0.997162182731098
2009-05-08,1.20628552427342,-0.944683191715884,-0.782738303002787
2009-05-15,1.37649873384041,-1.00964517063011,-0.828181870918584
2009-05-22,1.29476105234344,-0.987991032328105,-0.813034461385251
2009-05-29,1.23802327877572,-0.966337192445721,-0.79788624303651
2009-06-05,1.03906811918148,-0.742151968357336,-0.721166743838896
2009-06-12,1.06406811918148,-0.742151968357336,-0.721166743838895
2009-06-19,1.15251277455428,-0.785446656354747,-0.751318373871077
2009-06-26,1.15251277455428,-0.785446656354747,-0.751318373871077
2009-07-03,1.08906811918148,-0.742151968357336,-0.721166743838896
2009-07-10,1.12078837292056,-0.763868077306509,-0.736186738474943
2009-07-17,1.12078837292056,-0.763868077306509,-0.736186738474943
2009-07-24,0.928344847431084,-0.628884404391826,-0.696323752989491
2009-07-31,0.864900138118364,-0.585589693119131,-0.666171870771932
