BIS Statistics Explorer
"Table D10.3: OTC, credit default swaps, by remaining maturity"
Dataset: Semiannual OTC derivatives statistics(OTC_DERIV)
Unit: USD millions; Herfindahl indices in units
Data updated: 25/05/2016 16:02
"Frequency","International Financial Statistics block","Measure","Risk category","Instrument","Counterparty","Reporting country","Currency, maturity, equity region","Location","Period",30/06/1998,31/12/1998,30/06/1999,31/12/1999,30/06/2000,31/12/2000,30/06/2001,31/12/2001,30/06/2002,31/12/2002,30/06/2003,31/12/2003,30/06/2004,31/12/2004,30/06/2005,31/12/2005,30/06/2006,31/12/2006,30/06/2007,31/12/2007,30/06/2008,31/12/2008,30/06/2009,31/12/2009,30/06/2010,31/12/2010,30/06/2011,31/12/2011,30/06/2012,31/12/2012,30/06/2013,31/12/2013,30/06/2014,31/12/2014,30/06/2015,31/12/2015
"H:Half-yearly","N:Derivatives statistics","S:Notional amounts - bought","Y:Credit default swaps (CDS)","N:Single-name CDS","V:SPVs, SPCs, or SPEs","A:All countries","8B:Maturity over 1 year and up to 5 years","5J:All countries",H:N:S:Y:N:V:A:8B:5J,-,-,-,-,-,-,-,-,-,-,-,-,-,6069,10842,4744,4977,5270,4252,8275,6495,6678,2997,9370,44792,29844,61943,47822,50026,92075,39077,38625,37949,37373,35983,35557
"H:Half-yearly","N:Derivatives statistics","T:Notional amounts - sold","Y:Credit default swaps (CDS)","N:Single-name CDS","E:Other financial institutions","A:All countries","8B:Maturity over 1 year and up to 5 years","5J:All countries",H:N:T:Y:N:E:A:8B:5J,-,-,-,-,-,-,-,-,-,-,-,-,-,889217,1134389,1663209,2063185,2415121,3362601,4675335,4276388,3004918,3194287,2680287,2534030,2700171,2445677,2052001,1827568,1752244,1497845,1398978,1523840,1362223,1319719,1173563
"H:Half-yearly","N:Derivatives statistics","T:Notional amounts - sold","Y:Credit default swaps (CDS)","N:Single-name CDS","V:SPVs, SPCs, or SPEs","A:All countries","8A:Maturity of one year or less","5J:All countries",H:N:T:Y:N:V:A:8A:5J,-,-,-,-,-,-,-,-,-,-,-,-,-,5004,841,139,715,1370,82,470,2554,656,2212,2208,7945,6516,1175,2041,1157,18183,2530,2585,7384,6048,2054,2050
"H:Half-yearly","N:Derivatives statistics","T:Notional amounts - sold","Y:Credit default swaps (CDS)","A:All instruments","V:SPVs, SPCs, or SPEs","A:All countries","8A:Maturity of one year or less","5J:All countries",H:N:T:Y:A:V:A:8A:5J,-,-,-,-,-,-,-,-,-,-,-,-,-,6272,6788,275,1039,3169,2077,682,2677,1284,2760,2671,37252,11841,8179,7905,11954,35383,8829,13334,15679,9450,3673,5863
"H:Half-yearly","N:Derivatives statistics","S:Notional amounts - bought","Y:Credit default swaps (CDS)","N:Single-name CDS","X:Residual financial institutions ( for reporting only)","A:All countries","8C:Maturity over 5 years","5J:All countries",H:N:S:Y:N:X:A:8C:5J,-,-,-,-,-,-,-,-,-,-,-,-,-,28441,52598,249131,408943,753800,974767,1096475,878513,435658,355239,255892,101788,115444,77297,67640,53978,43330,78217,36461,38290,33559,54998,25695
"H:Half-yearly","N:Derivatives statistics","S:Notional amounts - bought","Y:Credit default swaps (CDS)","N:Single-name CDS","F:Non-financial customers","A:All countries","8A:Maturity of one year or less","5J:All countries",H:N:S:Y:N:F:A:8A:5J,-,-,-,-,-,-,-,-,-,-,-,-,-,22494,14644,32299,41813,26832,33491,20039,22553,17735,40545,37296,19293,7406,4994,7961,11214,15277,3054,5508,5814,11354,21213,20991
"H:Half-yearly","N:Derivatives statistics","A:Outstanding - notional amounts","Y:Credit default swaps (CDS)","O:Multi-name CDS","X:Residual financial institutions ( for reporting only)","A:All countries","8A:Maturity of one year or less","5J:All countries",H:N:A:Y:O:X:A:8A:5J,-,-,-,-,-,-,-,-,-,-,-,-,-,113,3182,18140,50959,80787,106618,226941,119022,83428,92358,59943,28469,46399,37836,58578,83592,61744,27826,28322,53959,92018,23624,35569
"H:Half-yearly","N:Derivatives statistics","S:Notional amounts - bought","Y:Credit default swaps (CDS)","N:Single-name CDS","E:Other financial institutions","A:All countries","8C:Maturity over 5 years","5J:All countries",H:N:S:Y:N:E:A:8C:5J,-,-,-,-,-,-,-,-,-,-,-,-,-,236319,468628,606747,822482,1310601,2109167,2389470,2096088,1404116,1263909,1044706,784336,775824,663853,465896,364387,237031,232471,172780,203135,154899,201780,133926
"H:Half-yearly","N:Derivatives statistics","A:Outstanding - notional amounts","Y:Credit default swaps (CDS)","A:All instruments","S:Central counterparties","A:All countries","8A:Maturity of one year or less","5J:All countries",H:N:A:Y:A:S:A:8A:5J,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,164416,278002,575345,1090288,948261,761362,744358,777186,786195,643028,559162,676278
"H:Half-yearly","N:Derivatives statistics","T:Notional amounts - sold","Y:Credit default swaps (CDS)","A:All instruments","E:Other financial institutions","A:All countries","8C:Maturity over 5 years","5J:All countries",H:N:T:Y:A:E:A:8C:5J,-,-,-,-,-,-,-,-,-,-,-,-,-,278755,601585,741391,1273007,1892340,3403934,4286045,3326729,2142580,1779064,1525657,1301925,1109365,1068528,709611,622314,393111,322556,270443,311486,257051,336064,206811
