BIS Statistics Explorer
"Table D5.2: Global OTC derivatives market"
Dataset: Semiannual OTC derivatives statistics(OTC_DERIV)
Unit: USD millions; Herfindahl indices in units
Data updated: 25/05/2016 16:02
"Frequency","International Financial Statistics block","Measure","Risk category","Instrument","Counterparty","Reporting country","Currency, maturity, equity region","Location","Period",30/06/1998,31/12/1998,30/06/1999,31/12/1999,30/06/2000,31/12/2000,30/06/2001,31/12/2001,30/06/2002,31/12/2002,30/06/2003,31/12/2003,30/06/2004,31/12/2004,30/06/2005,31/12/2005,30/06/2006,31/12/2006,30/06/2007,31/12/2007,30/06/2008,31/12/2008,30/06/2009,31/12/2009,30/06/2010,31/12/2010,30/06/2011,31/12/2011,30/06/2012,31/12/2012,30/06/2013,31/12/2013,30/06/2014,31/12/2014,30/06/2015,31/12/2015
"H:Half-yearly","N:Derivatives statistics","A:Outstanding - notional amounts","Y:Credit default swaps (CDS)","A:All instruments","A:All counterparties (net)","A:All countries","5A:Total (All currencies maturities and regions)","US:United States",H:N:A:Y:A:A:A:5A:US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5131890,4485699,4013674,3411927,3158988,2575264
"H:Half-yearly","N:Derivatives statistics","$E+F","A:Total contracts","A:All instruments","A:All counterparties (net)","A:All countries","5A:Total (All currencies maturities and regions)","5J:All countries",H:N:$E+F:A:A:A:A:5A:5J,1202805.000000,1328580.000000,1119372.000000,1023011.000000,936961.000000,1080349.000000,1019132.000000,1170902.000000,1316794.000000,1510743.000000,1749555.000000,1968741.000000,1477709.000000,2075213.000000,1896615.000000,1900213.000000,2031888.000000,2036195.000000,2671677.000000,3255512.000000,3858685.000000,5005211.000000,3744105.000000,3520668.000000,3580775.000000,3479980.000000,2970889.000000,3938474.000000,3691844.000000,3611530.000000,3784403.000000,3032749.000000,2825544.000000,3355012.000000,2869884.000000,2853226.000000
"H:Half-yearly","N:Derivatives statistics","A:Outstanding - notional amounts","Y:Credit default swaps (CDS)","A:All instruments","A:All counterparties (net)","A:All countries","4A:Sovereigns","5J:All countries",H:N:A:Y:A:A:A:4A:5J,-,-,-,-,-,-,-,-,-,-,-,-,-,173163,206288,1263433,647176,1124553,1506247,1978291,2188102,1660763,1766229,1946791,2454633,2604215,2907775,3038906,2985780,2941369,3242908,2633447,2685510,2467497,2283509,2001235
"H:Half-yearly","N:Derivatives statistics","A:Outstanding - notional amounts","Y:Credit default swaps (CDS)","A:All instruments","A:All counterparties (net)","A:All countries","4E:Securitised products (4F + 4G)","5J:All countries",H:N:A:Y:A:A:A:4E:5J,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,320573,293018,1063541,1042900,947914,897769,731878,565500,480016,227135,212744,225270
"H:Half-yearly","N:Derivatives statistics","A:Outstanding - notional amounts","Y:Credit default swaps (CDS)","A:All instruments","T:Banks and security firms","A:All countries","5A:Total (All currencies maturities and regions)","5J:All countries",H:N:A:Y:A:T:A:5A:5J,-,-,-,-,-,-,-,-,-,-,-,-,-,734353,1617298,3541269,5024785,5322178,9592045,13971129,13683278,11346448,11109465,9949608,7975319,7345536,6113141,3524056,2918629,2962580,2215506,1724003,2042217,1347884,1228625,853679
"H:Half-yearly","N:Derivatives statistics","D:Outstanding - gross market values","E:Gold","A:All instruments","A:All counterparties (net)","A:All countries","5A:Total (All currencies maturities and regions)","5J:All countries",H:N:D:E:A:A:A:5A:5J,9702,12872,22522,22966,19215,16969,20660,19955,27750,28152,11733,39187,44948,31855,24278,51030,76754,56215,47181,69573,72485,64690,43220,48081,45445,47280,49860,63115,50758,42395,79855,47268,32130,33652,25651,75265
"H:Half-yearly","N:Derivatives statistics","D:Outstanding - gross market values","F:Precious metals","A:All instruments","A:All counterparties (net)","A:All countries","5A:Total (All currencies maturities and regions)","5J:All countries",H:N:D:F:A:A:A:5A:5J,1589,2316,4248,3821,2941,3150,1847,3832,4525,3141,3515,4618,3376,3942,2843,5562,11022,8383,6116,10595,14027,17886,24199,14968,28891,17637,19102,14490,9531,9775,17234,6799,6762,7225,6539,6436
"H:Half-yearly","N:Derivatives statistics","D:Outstanding - gross market values","G:Other commodities","A:All instruments","A:All counterparties (net)","A:All countries","5A:Total (All currencies maturities and regions)","5J:All countries",H:N:D:G:A:A:A:5A:5J,26794,27668,17255,32925,57610,113341,60538,51707,46463,54509,84532,83747,118082,134613,348575,814106,630371,602889,582814,1818245,2126955,872590,614135,482087,383652,461286,400577,388884,318250,294514,286993,209716,230400,276643,204931,215523
"H:Half-yearly","N:Derivatives statistics","A:Outstanding - notional amounts","Y:Credit default swaps (CDS)","A:All instruments","A:All counterparties (net)","A:All countries","8C:Maturity over 5 years","5J:All countries",H:N:A:Y:A:A:A:8C:5J,-,-,-,-,-,-,-,-,-,-,-,-,-,1243778,2400398,3225106,5759336,9437359,15360681,18829848,16511244,12179538,9062498,7952441,6145442,5235001,5304161,3667755,3067609,1935230,1673535,1202657,1252315,1022336,1223998,826988
"H:Half-yearly","N:Derivatives statistics","A:Outstanding - notional amounts","F:Precious metals","C:Forwards and swaps","A:All counterparties (net)","A:All countries","5A:Total (All currencies maturities and regions)","5J:All countries",H:N:A:F:C:A:A:5A:5J,14803,22074,23889,14134,8520,10745,10489,15790,18907,26672,23263,21753,22680,21651,20613,28515,34667,32527,42245,50664,86285,61725,43766,75949,81324,90439,86158,65141,63269,63176,46571,31286,49871,35223,37068,31855
"H:Half-yearly","N:Derivatives statistics","A:Outstanding - notional amounts","E:Gold","C:Forwards and swaps","A:All counterparties (net)","A:All countries","5A:Total (All currencies maturities and regions)","5J:All countries",H:N:A:E:C:A:A:5A:5J,102658,76224,86689,118892,120086,101312,87535,100895,117957,135618,134190,153737,128732,133578,109151,128078,148144,139092,140927,199775,221636,151799,178682,200708,224174,229822,282747,306475,319045,295278,252061,202351,190937,177201,155633,177357
"H:Half-yearly","N:Derivatives statistics","D:Outstanding - gross market values","Y:Credit default swaps (CDS)","A:All instruments","X:Residual financial institutions ( for reporting only)","A:All countries","5A:Total (All currencies maturities and regions)","5J:All countries",H:N:D:Y:A:X:A:5A:5J,-,-,-,-,-,-,-,-,-,-,-,-,-,11317,10449,54638,67233,102163,173832,478482,624180,615908,375820,215609,106727,96535,61076,86462,58370,50075,35121,33189,33291,44125,35272,27788
"H:Half-yearly","N:Derivatives statistics","A:Outstanding - notional amounts","Y:Credit default swaps (CDS)","A:All instruments","A:All counterparties (net)","A:All countries","5A:Total (All currencies maturities and regions)","JP:Japan",H:N:A:Y:A:A:A:5A:JP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196242,161508,150652,116597,115917,137285
"H:Half-yearly","N:Derivatives statistics","D:Outstanding - gross market values","H:Total commodities (Sum of codes E, F and G)","A:All instruments","A:All counterparties (net)","A:All countries","5A:Total (All currencies maturities and regions)","5J:All countries",H:N:D:H:A:A:A:5A:5J,38085,42856,44025,59712,79766,133460,83045,75494,78738,85802,99780,127552,166406,170410,375696,870698,718147,667487,636111,1898413,2213467,955166,681554,545136,457988,526203,469539,466489,378539,346684,384082,263783,269292,317520,237121,297224
"H:Half-yearly","N:Derivatives statistics","D:Outstanding - gross market values","Y:Credit default swaps (CDS)","A:All instruments","V:SPVs, SPCs, or SPEs","A:All countries","5A:Total (All currencies maturities and regions)","5J:All countries",H:N:D:Y:A:V:A:5A:5J,-,-,-,-,-,-,-,-,-,-,-,-,-,8328,8786,3593,3099,11299,7277,12404,23166,44567,22567,28517,86618,64661,65853,63387,45914,27029,21173,15714,15256,12335,9639,7774
"H:Half-yearly","N:Derivatives statistics","A:Outstanding - notional amounts","Y:Credit default swaps (CDS)","A:All instruments","A:All counterparties (net)","A:All countries","4D:Non-financial firms","5J:All countries",H:N:A:Y:A:A:A:4D:5J,-,-,-,-,-,-,-,-,-,-,-,-,-,1276463,1739609,1238706,1913060,2650972,3578550,5647217,6192694,4376573,3472180,3398558,4112217,4006216,13125189,11313362,10184239,9298855,8359568,7229727,6538929,5623961,5275082,4290062
"H:Half-yearly","N:Derivatives statistics","A:Outstanding - notional amounts","Y:Credit default swaps (CDS)","A:All instruments","A:All counterparties (net)","A:All countries","5A:Total (All currencies maturities and regions)","5U:Latin America",H:N:A:Y:A:A:A:5A:5U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600112,780289,784936,686369,607285,459796
